"state","county","clinton_pctvotes","trump_pctvotes","obama_pctvotes","pct_pop65","pct_black","pct_white","pct_hispanic","pct_asian","highschool","bachelors","income","trump_win"
"KY","Shelby County",30.52,64.17,35.55,14,7.7,88.6,8.7,1,85,23.8,57.298,1
"KY","Simpson County",28.5,67.48,37.38,15.8,9.7,87,2,1,82.9,14.8,39.546,1
"KY","Spencer County",20.2,75.68,30.23,12.4,1.8,96.2,1.8,0.4,88.2,16.6,65.209,1
"KY","Taylor County",22.59,73.62,30,17.3,5.2,92,2.2,0.8,79.6,15.1,36.384,1
"KY","Todd County",21.84,75.71,29.74,15.6,8.5,89.6,4.1,0.2,76.1,9.4,41.541,1
"KY","Trigg County",23.55,73.12,31.38,21.2,7.7,89.6,1.7,0.4,82.2,18.4,45.629,1
"KY","Trimble County",23.22,73.19,38.28,15.6,1.5,96.2,3.5,0.5,84.5,16.1,49.718,1
"KY","Union County",21.44,75.71,32.49,15,13.1,84.3,1.8,0.7,82.5,11.4,39.125,1
"KY","Warren County",35.04,59.22,38.29,12,9.4,84.7,5.1,3.2,86.6,28.4,44.135,1
"KY","Washington County",25.26,71.39,31.99,17.2,6.3,91.6,3.8,0.5,80.6,15.6,40.845,1
"KY","Wayne County",17.91,79.74,25.73,18.1,1.8,96.3,2.7,0.4,69.8,9.8,29.497,1
"KY","Webster County",21.36,75.76,32.27,16.4,4.3,93.1,4.7,0.4,77.4,8.4,41.415,1
"KY","Whitley County",15.02,82.18,20.53,15.1,0.8,97,1,0.4,73.4,13.4,29.769,1
"KY","Wolfe County",28.59,68.49,38.14,17.8,0.3,98.5,0.7,0.1,66.3,11.8,22.574,1
"KY","Woodford County",36.6,56.82,39.6,15.7,5.2,92.3,6.6,0.7,88.4,31.6,57.58,1
"LA","Acadia Parish",20.59,77.26,24.44,13.5,18.3,79.6,2.2,0.4,72.1,10.2,37.587,1
"LA","Allen Parish",22.78,74.28,28.11,13.3,23.2,71.7,2.1,0.8,76.6,11.1,38.429,1
"LA","Ascension Parish",30.13,66.11,32.01,10.2,22.9,74.1,5.2,1.3,89,24.9,69.07,1
"LA","Assumption Parish",36.05,61.57,43.25,15.2,29.9,68.2,2.6,0.4,71.3,9.7,46.116,1
"LA","Avoyelles Parish",30.35,67.32,35.68,15.5,29.5,66.8,1.8,0.6,70.2,9.7,33.942,1
"LA","Beauregard Parish",15.87,81.16,19.88,14.4,13.5,82,3.6,0.7,84.6,15,46.385,1
"LA","Bienville Parish",44.67,53.62,48.45,19.1,41.8,56.1,1.6,0.3,79.9,11.1,31.543,1
"LA","Bossier Parish",25.37,71.16,26.68,12.8,21.7,73.4,6.4,1.8,87.7,25.2,53.248,1
"LA","Caddo Parish",50.55,46.32,51.9,14.8,48.2,48.5,2.8,1.3,85.8,22.7,41.053,0
"LA","Calcasieu Parish",31.39,64.68,34.7,13.7,25.3,71,3.1,1.3,84.5,19.9,43.499,1
"LA","Caldwell Parish",16.79,81.46,21.54,16.5,17,81.1,2.9,0.3,74.7,8.2,39.385,1
"LA","Cameron Parish",8.75,88.19,10.9,15,4.1,94,3.7,0.2,84,15.4,64.574,1
"LA","Catahoula Parish",27.22,71.64,33.58,15.7,32.2,66.4,1.3,0.1,69.3,11.2,36.165,1
"LA","Claiborne Parish",42.31,55.83,44.77,17.5,50.9,46.6,1.4,0.7,75.1,12.5,32.996,1
"LA","Concordia Parish",36.89,61.72,40.86,15.2,40.7,57.9,1.2,0.3,74.2,11.3,29.022,1
"LA","De Soto Parish",38.25,59.77,42.54,16,38.1,59.2,2.8,0.4,77.7,11.3,39.162,1
"LA","East Baton Rouge Parish",52.31,43.1,51.77,12.4,46.2,48.9,3.9,3.3,88.5,34.2,48.506,0
